id,B,Body,Label

1702,1702,-Ayrıca redmi note 9 aldım almaz olsaydım.,1
2054,2054,-Cihazın kendisine geldiğimde ise,1
2059,2059,"-Genel olarak toparlamam gerekirse, cihazın ergonomisi,sesi,bağlantısı,kullanışı konusunda fiyatını hak ettiğini düşünüyorum,ben her yönüyle beğendim.",1
1701,1701,-Redmi note 8 sağlam telefon.,1
1823,1823,-Yanları. Telefon ağır ve kamera çıkıntısı büyük iyi korumak lazım. Arayüzünde hatalar var (ara ara yukarıdaki çentik yok olabiliyor veya saat göstergesi ekrana sigmayabiliyor). Daha önce Samsung kullanıyordum klavyesi Samsung kadar hızlı değil yani klavye daha ağır.,1
2057,2057,"-gün içinde görüntülü konuşma,müzik ve dizi izliyorum. yaklaşık olarak kulağımda 8-10 saat boyunca aktif olarak kullanıyorum.",1
2170,2170,"1 Haziran 2020 20:43te verdiğim sipariş HepsiJet seçeneğiyle yaklaşık 12 saat içinde,2 Haziran 2020 09:50de tarafıma teslim edildi,ürün ile birlikte kargo hızını da tebrik etmek gerekir...",1
1821,1821,1 aydır kullaniyorum.,1
2251,2251,"1 tane denedim, ondan çok memnun oldum ve o neden daha fazla iki tane aldım",1
1745,1745,1 yıldır kullanıyorum genel olarak idare eder ama kasmaya başladı. Ekranda ghost screen sorunu var. Kamerası yüksek ışıkta iyi çekiyor.,1
1718,1718,1 yıldır kullanıyorum güzel kaliteli ürün,1
1857,1857,"1 yıldır kullanıyorum memnunum, şarjı çoğunlukla gün boyu yetiyor, hızı gayet iyi, istediğim kadar uygulama indirebiliyorum hafızası yüksek olmalı, kamerası da bu fiyata ve piyasaya göre çok iyi, tek kusuru arada donup kendi kendine bazı uygulamalara girip çıkıyor",1
2329,2329,1 yıldır kullanıyorum pili bile bitmedi henüz. Sıkıntısız alet. Ama duyarlılığı ve tekerleğinden fazla bir şey beklemeyin.,1
1412,1412,1-2 yıl önce 15-20₺’ye aldığımız ürünleri indirimli gibi 40₺‘sen almak üzüyor açıkçası. Kolay sürülüyor ve temizleniyor. Tarama ve dolgunlaştırma başarılı. Benim kirpiklerim çok gür ve uzun değil bu yüZden rimelin yarattığı etkiyi beğendim. Hızlı gönderi ve güzel paketleme için teşekkürler.,1
2310,2310,1.93 boyunda ki bir insanın eline göre çok ufak bir mause. ancak seri ve naif.,1
1487,1487,1.resim gelen ürün,1
2013,2013,10 numara 5 yıldız,1
2149,2149,"10 numara 5 yıldız, tereddütsüz alın",1
2156,2156,10 saatte elime ulaştı teşekkürler hepsiburada,1
1980,1980,11 günde elime ulaştı uzun süredir kullanıyorum bir sıkıntısı yok. Şarjı çok iyi gidiyor. Oyun deneyimi oldukça iyi.,1
1778,1778,"128 GB olması büyük avantaj. Ram 4 GB ve gayet hızlı. Kutu içerisinden çıkan koruyucu kılıf dükkanlarda görmediğim kalitede, sert ve diri. Bir de içinden cam filmi çıksaymış harika olurmuş. Cihazın tasarımı ve eldeki hissiyatı o kadar hoş ki kılıf takmak istemiyor insan. Kutuda kulaklık yok ancak isabet olmuş, herkeste tonla kulaklık vardır evde. Tek eleştirim ortam ışığına karşı yaptığı parlaklık ayarı bazen yetersiz gelebiliyor. Bir de tuş takımı vb. yazıların puntosu default olarak daha büyük olmalı.",1
1890,1890,1799 TL fiyattan aldım Note8 128GB Yorumlardaki kargo sorununu görünce hepsiexpress i tercih ettim 10 TL kargo yerine 15 TL kargo ödedim ertesi gün teslim edildi. (Bursa Mustafakemalpaşa ilçesi),1
1802,1802,2 ay önce almıştım kullanip yorum yapmak istedim urunden gayet memnunum beyaz renk almıştım herkes çok beğeniyor.paketleme çok guzel yapılmıştı kutusunda ambalajli geliyor içinden sadece kulaklik çıkmıyor içinden şeffaf kilif ve sarj aleti var baska markalara çok para vermeye gerek yok tavsiye ederim👍,1
2185,2185,2 gün kadar kısa bir sürede geldi 1 aydır kullanıyorum gayet güzel ve orjinal ürün aldıktan sonr apple sitesinden garantisini başlattım kullanıyorum teşekkürler..,1
2252,2252,2 hafta önce başka bir tane almıştım bozuldu Logitech mouse haricinde almamak lazım,1
2062,2062,"2 haftadır kullanıyorum. Kapağı açtığım anda çok hızlı bağlanıyor. Şarjı tamamen bitirmedim hiç ama tahmini 4 saati buluyor müzikle ve konuşmada. Hızlı şarj oluyor. Tempolu spor yaparken bile kulağımdan düşmedi hiç bir sorun olmadı. Biraz küçük, biryerde unutma riski çok fazla. Ses kalitesi iyi denebilir. Dokunmatik kısmı iyi çalışıyor.",1
1488,1488,2.resim gelmesi gereken ürün,1
1834,1834,"2020 Nisan ayında satın aldım, 7 aylık kullanımım sonucu cihazdan gayet memnunum benim kanımca tam bir fiyat performans ürünü, bütçeniz yetiyor ise 128 gb versiyonu ile sık sık 4k çekimler yapsanız dahi uzun vadede sıkıntıya düşürmez kullanıcıyı.",1
1997,1997,"24 saatte elime ulaştı hızlı teslimat için teşekkür ederim. Apple kalitesi tartışılmaz zaten, fiyat olarak da en uygun hepsiburada da buldum. Apple’ın sayfasından seri nosu ile garantisini başlattım. Kesinlikle orjinal ürün.",1
1982,1982,2hafta oldu kullanıyorum.. çok memnunum güzel ürün.. alicak arkadaşlara tavsiye ederim,1
1785,1785,4 gündür sipariş verdim daha gelmedi gac günde sizin elinize ulaştı,1
2440,2440,4 yıldız çünkü jelatini açılmıştı jelatininin açılması dışında her şey yolundaydı.,1
2081,2081,4. ürünüm...çok hoş bir hediye oluyor,1
2511,2511,5 yıldır kullandığım tek rimel. Kesinlikle kaliteli,1
1820,1820,64 almayın 128 GB hafiza telefonu çok rahatlatıyor çünkü,1
1740,1740,9 ay önce kendime almıştım şimdide kuzenime aldık fiyat performans ürünü marka takıntısı olmayanlara tavsiye ederim hızlı ve sağlam bir şekilde elimize ulaştı teşekkürler Hepsiburada..,1
2078,2078,APPLE KALİTESİ,1
1427,1427,ARKADAŞ TAVSİYESİYLE ALMIŞTIM. 2 YILDIR KULLANIYORUM. VAZGEÇİLMEZİM OLDU. TEK KAT SÜRÜNCE BİLE SÜPER OLUYOR. 2. KATTA TAKMA KİPRİK GİBİ SÜPER OLUYOR,1
2225,2225,"Ablam için aldım gayet şık ve kullanışlı. Bahsedildiği kadar küçük değil. Cüzdan, telefon ve birkaç parça önemli eşya sığabiliyor.",1
2465,2465,Adamlar yapmış,1
2087,2087,"Ah bebeğim AirPods! Seni bulan Apple Genius'a teşekkür ediyorum. Şiddetle tavsiye ettiğim bir üründür, parası olmayan arkadaşlar üzgünüm... İzlemekle yetinecekler. Ama bir gün elbet sizin de olacaktır. Saygılar.",1
2208,2208,AirPods 1 den 2 ye geçtim ve yine pişman olmadım. Google’da AirPods verimli kullanma rehberi yazarsanız daha verimli hale gelecektir.,1
1801,1801,Aklınızda şüphe olmadan alın arkadaşlar rahat rahat kullanıyorum hiç bir anlamda problem yaşamadım. Güncellemelerin de devamlı gelmesi çok güzel hiç kasma yaratmıyor. Telefon almadan önce en az 1 hafta detaylı araştırma yaptım. İzlemediğim video kalmadı. Sonunda bu üründe karar kıldım. Oyunlarda kasar diyenler olmuş hiç bir oyunda da kasmıyor bilginiz olsun. Isınma konusunda da ben daha çok acayip bir ( el yakan cinsten ) ısınma ile karşılaşmadım. Tavsiye ediyorum. Memnunum.,1
1810,1810,Alalı yaklaşık 1 ay oldu hemen yorum yapmak istemedim. Gerçekten harika bir telefonmuş çok memnun kaldım.,1
1835,1835,Aldığım günden beri ara ara kapanıyor telefon sonra açma tuşundan açıyorum.bi servis görecek sonunda galiba.görüşme kaydetme özelliği yok malesef.Çok fazla ısınıyor telefon.Ona göre alın.birde alırsanız wife ye bağlayıp sim kart takmayın bi müddet.sadece yüzüne bakın telefonun.cünkü bunları yaptiginizda iade edemiyorsunuz malesef.,1
2197,2197,Almak isteyene tavsiye ederim hem fiyatı uygun hem 2 yıl apple garantili hem kulaklıkta çok iyi aklımda soru işareti kalarak almıstım acaba garantisi varmı diye ama varmış bence alın çok güzel,1
2007,2007,Almak isteyenlere kesinlikle tavsiye ederim. Pro alma imkanınız varsa kesinlikle pro alın. Ses kalitesi müthiş,1
2183,2183,"Altı aydır kullanıyorum ve asla hiç bir sıkıntı yaşamadım, defalarca düşürdüm ancak kutusuna çizilmekten başka bir şey olmadı. Kesinlikle bütçeniz varsa düşünmeden alın. Kablo olmadan müzik dinleyebilmek gerçekten çok rahat bir şey...",1
2359,2359,Altındaki led kızılötesi olduğundan hiç ışık yaymıyor.,1
1361,1361,Alırken tereddütlerim vardı tek kelimeyle Harika bir maskara,1
1999,1999,Ancak ürünü aldığınızda apple.com sitesinde garantisini kontrol etmeniz ve henüz işletilmediyse faturanız ile garantisi başlatmanız gerekmektedir.,1
2016,2016,Android için düşünmeyin apple da başarılı,1
2110,2110,"Android telefon ile kullanıyorum, memnunum.",1
1712,1712,Anlatmaya gerek yok.kullanan bilir.tavsiye ederim.samsung ıphone vs hepsi çöp,1
2150,2150,Anlatıldığı gibi,1
2231,2231,Anne çantası için ideal,1
2229,2229,Annem için aldım. Beğendi. Buyuk değil ama çok da küçük sayılmaz.,1
1858,1858,"Anneme aldım, gayet memnun tam bir fiyat performans ürünü kamera performansı da beni çok etkiledi harika fotoğraflar çekiyor. Pil performansı da bir günü rahat geçirecek şekilde.",1
2199,2199,"Apple destekten garanti sorgulamasını yapabilirsiniz arkadaşlar. Apple farkını yine ortaya koyuyor . Gayet başarılı bir ürün . Spor yaparken , koşarken asla kulaktan düşmüyor . Teşekkürler Hepsi Burada",1
2014,2014,Apple kalitesi,1
2106,2106,Apple kalitesi anlatmaya gerek yok.,1
2181,2181,Apple kalitesi harika her zamanki gibi kargo inanılmaz hızlı ve özenliydi .Satıcı hepsiburada olunca gözüm kapalı güvenerek alıyorum harikasınız👏,1
2186,2186,Apple kalitesi tartışılmaz. Hepsijet ile 1 günde elime ulaşması da süper.,1
2162,2162,Apple sorgulaması yapıldı 👍,1
1882,1882,Arkadaşlar telefonu anlatmıyorum...Orta seviyede alınacak telefonlardan...Fiyat karşılaştırması yapıldığında Redmi Note 9 da alternatif olabilir...Ancak pişman etmez memnun eder..,1
1722,1722,"Arkadaşlar, sadece arka kapakta fabrikasyon hatası vardı. Tam oturmuyordu. Farketmedim bile. Bir telefoncu bakıp söyleyene kadar. İade etmeyi düşünmüştüm sonradan uğraşmak istemediğim için vazgeçtim. Şu ana kadar gayet memnunum. Tavsiye ederim.",1
1721,1721,Aylardır kullandığım bir telefon ve çok memnunum. Herhangi bir sıkıntı yaşamadım. Ekran ve ses kalitesi oldukça iyi. Bataryası güçlü ve hızlı şarj özelliği mevcut. Almak isteyenlere güvenle tavsiye ederim. Kargo da gayet iyi paketlenmişti ve yaklaşık olarak 9-10 günde geldi.,1
1354,1354,Aynı bildiğimiz maybelline rimel zaten kullanıyordum lash serisini bu da yeni çıkınca birde herkes çok övünce deniyeyim dedim ama pek bir farkını görmedim açıkçası alanların bilgisine 🤷‍♀️,1
1585,1585,Aynı ürün orjinali geldi 2 günde elime ulaştı,1
1600,1600,Ayrı ayrı durmasi ve ekstra siyahlık katmasi ile bayıldıgım rimelim :)),1
1846,1846,Ayrıca içerisinde hayatınızı kolaylaştıracak telefona özel uygulamaların olması da cabası.,1
1964,1964,Açıkçası kargonun bu kadar erken geleceğini zannetmiyordum. Ürün güzel paketlenmiş . Herhangi hi sıkıntısı yok. Kamera çekimi gayet güzel. Ön kamera arka kamera ben beğendim. Çözünürlük açısından güzel. Bu fiyata en ideal telefon derim.,1
1944,1944,Babam çok çok mutlu. Her özelliğini kullanmıyor olsada elinden alıp kendim kullanıyorum. Samsung'tan vazgeçme sebebim olacak bu telefon.,1
1358,1358,"Bana bu urunu cok tavsiye ettiler. Yapısmaması güzel, sürümü kolay. Ancak bence fırcası biraz kucuk be bekledigim kadar volume vermedi.",1
1737,1737,Bana sorarsanız kamerası abartıldığı seviyede değil fakat kötü de demiyorum.Diğer özellikleri de gayet güzel.Gönül rahatlığıyla alınıp kullanılabilir,1
2397,2397,Batarya cok uzun gitmyo sadece,1
2402,2402,"Batarya dışında ,note fanatizmdir.gülü seven dikenine katlanıyor",1
2398,2398,Batarya hariç cok memnunum,1
2454,2454,Bataryasi daha iyi olabilirdi,1
2449,2449,Bataryasi daha jyi olabilirdi buna ragmen iyi,1
2437,2437,Bataryası küçük olduğundan şarj olayi bazen sorun olabiliyor. Yanınızda şarj kutusu taşıyorsanız on numara 5 yıldız bir telefon,1
1703,1703,Bataryası çok uzun süre gidiyor. Ekran büyüklüğü parlaklığı kalitesi çok iyi. Fotoğraf çekimi çok güzel. Telefon hızı da mükemmel.,1
2301,2301,Baya begendim. Cok memnun kaldik,1
1467,1467,Bayılarak kullanıyorum kargolama mükemmell,1
1729,1729,Bayıldım renk müthiş,1
2055,2055,"Bağlantı konusunda kablolu kulaklıktan daha çabuk bağlandığını söyleyebilirim.Cihazın ses kalitesini ben gayet beğendim,fakat dinlenilen müziklerin çıkış kaydı da cihazın ses kalitesi için kesin yorum yapılabilmesine engel oluyor. ses kalitesi konusunda beklentimin altında bir performans görmedim.''cihaz 850 lira,",1
1625,1625,Başarılı,1
2036,2036,Başarılı apple sonuç olarak ve orjinal kafanızda sorun kalmasın henüz kullanmadım fakat fazla söze gerek olduğunuda düşünmüyorum 😂,1
1726,1726,Başka bir sıkıntı yok,1
2048,2048,"Başta tedirgin oldum hepsiburada’dan farklı bir satıcı olduğu için ama gerçekten çok memnun kaldım. Mersin’den Bursa’ya 1.5 günde geldi. Ürünü konuşmaya gerek bile yok. Bir kulakiçi kulaklıktan beklediğiniz neredeyse her şeyi karşılıyor. Tam olarak ortalama bir kulaklık. Hiç kötü özelliği yok. Ama hiç çok öne çıkan bir özelliği de yok. Temel, sağlam, güvenilir, rafine bir cihaz. Küçük detaylara takılan insanlar için birebir.",1
2423,2423,"Başırılı, kusursuz denecek kadar güzel...",1
2226,2226,Bekledigimden küçük geldi almak isteyen dikkat etsin,1
2123,2123,Beklediğimden falasını aldım...,1
1988,1988,"Beklentizin üzerinde, güzel bir telefon",1
1799,1799,Ben XİAOMİ ailesinin note 7 sini kullanıyordum zaten. Tahminen 1 sene kadar ancak olacak. Üründen memnun kaldım. Sonrasında iş için 2. telefon lazım oldu bu sefer Note 8 alıp denemek istedim. İkisini kıyaslayınca aralarında tek fark kamera muhabbetleri. Note 7 de çekimler de renkler daha canlı iken note 8 de göz hangi rengi görüyorsa direk o rengi alıyor. Ayrıca note 8 de makro çekim özelliği mevcut yakından çekim ( 5 cm ) yapma istiyorsanız düşünülebilir. Onun dışında note 7 ile arasında muazzam farklar yok.,1
1749,1749,Ben geçen sene aldım telefonu memnunum ama şuan bunu almak yerine biraz daha ekleyip note9s almak çok çok daha mantıklı,1
2263,2263,Ben güzel alırsanız pişman olmazsınız,1
1434,1434,Ben çok beğendim. Kirpikleri güzel kıvırıyor. Çıkarması da kolay,1
