"tarih","gunluk_test","gunluk_vaka","gunluk_hasta","gunluk_vefat","gunluk_iyilesen","toplam_test","toplam_hasta","toplam_vefat","toplam_iyilesen","toplam_yogun_bakim","toplam_entube","hastalarda_zaturre_oran","agir_hasta_sayisi","yatak_doluluk_orani","eriskin_yogun_bakim_doluluk_orani","ventilator_doluluk_orani","ortalama_filyasyon_suresi","ortalama_temasli_tespit_suresi","filyasyon_orani"
"16.04.2021","320.078","63.082","2.915","289","56.510","43.148.200","4.150.039","35.320","3.591.550","","","3,3","3.205","56,7","68,8","34,9","","9","99,9"
"15.04.2021","318.217","61.400","2.845","297","54.894","42.828.122","4.086.957","35.031","3.535.040","","","3,3","3.080","56,7","68,8","34,9","","9","99,9"
"14.04.2021","310.420","62.797","2.802","279","55.413","42.509.905","4.025.557","34.734","3.480.146","","","3,3","3.018","56,7","68,8","34,9","","9","99,9"
"13.04.2021","306.563","59.187","2.723","273","52.104","42.199.485","3.962.760","34.455","3.424.733","","","3,3","2.951","56,7","68,8","34,9","","9","99,9"
"12.04.2021","301.068","54.562","2.671","243","41.218","41.892.922","3.903.573","34.182","3.372.629","","","3,3","2.891","56,7","68,8","34,9","","9","99,9"
"11.04.2021","294.274","50.678","2.548","237","30.194","41.591.854","3.849.011","33.939","3.331.411","","","3,1","2.824","55,7","66,5","33","","9","99,9"
"10.04.2021","302.735","52.676","2.497","248","32.539","41.297.580","3.798.333","33.702","3.301.217","","","3,1","2.739","55,7","66,5","33","","9","99,9"
"09.04.2021","305.103","55.791","2.408","253","35.786","40.994.845","3.745.657","33.454","3.268.678","","","3,1","2.658","55,7","66,5","33","","9","99,9"
"08.04.2021","304.492","55.941","2.316","258","37.914","40.689.742","3.689.866","33.201","3.232.892","","","3,1","2.615","55,7","66,5","33","","9","99,9"
"07.04.2021","302.108","54.740","2.203","276","35.503","40.385.250","3.633.925","32.943","3.194.978","","","3,1","2.604","55,7","66,5","33","","9","99,9"
"06.04.2021","271.547","49.584","2.003","211","28.498","40.083.142","3.579.185","32.667","3.159.475","","","3,1","2.477","55,7","66,5","33","","9","99,9"
"05.04.2021","245.496","42.551","1.706","193","25.627","39.811.595","3.529.601","32.456","3.130.977","","","3,1","2.407","55,7","66,5","33","","9","99,9"
"04.04.2021","246.210","41.998","1.508","185","22.674","39.566.099","3.487.050","32.263","3.105.350","","","3,6","2.311","54,2","63,2","27,1","","9","99,9"
"03.04.2021","249.126","44.756","1.483","186","23.214","39.319.889","3.445.052","32.078","3.082.676","","","3,6","2.231","54,2","63,2","27,1","","9","99,9"
"02.04.2021","248.968","42.308","1.471","179","24.419","39.070.763","3.400.296","31.892","3.059.462","","","3,6","2.182","54,2","63,2","27,1","","9","99,9"
"01.04.2021","243.738","40.806","1.424","176","20.817","38.821.795","3.357.988","31.713","3.035.043","","","3,6","2.135","54,2","63,2","27,1","","9","99,9"
"31.03.2021","240.012","39.302","1.401","152","19.193","38.578.057","3.317.182","31.537","3.014.226","","","3,6","2.082","54,2","63,2","27,1","","9","99,9"
"30.03.2021","235.298","37.303","1.376","155","19.925","38.338.045","3.277.880","31.385","2.995.033","","","3,6","2.054","54,2","63,2","27,1","","9","99,9"
"29.03.2021","225.511","32.404","1.325","154","18.015","38.102.747","3.240.577","31.230","2.975.108","","","3,6","1.998","54,2","63,2","27,1","","9","99,9"
"28.03.2021","220.109","29.058","1.305","153","17.164","37.877.236","3.208.173","31.076","2.957.093","","","4,2","1.968","53,8","65,0","23,3","","9","99,9"
"27.03.2021","223.214","30.021","1.281","151","18.892","37.657.127","3.179.115","30.923","2.939.929","","","4,2","1.886","53,8","65,0","23,3","","9","99,9"
"26.03.2021","220.985","29.081","1.253","153","20.208","37.433.913","3.149.094","30.772","2.921.037","","","4,2","1.810","53,8","65,0","23,3","","9","99,9"
"25.03.2021","222.753","28.731","1.210","157","19.186","37.212.928","3.120.013","30.619","2.900.829","","","4,2","1.790","53,8","65,0","23,3","","9","99,9"
"24.03.2021","221.738","29.762","1.142","146","17.761","36.990.175","3.091.282","30.462","2.881.643","","","4,2","1.720","53,8","65,0","23,3","","9","99,9"
"23.03.2021","211.848","26.182","1.006","138","19.201","36.768.437","3.061.520","30.316","2.863.882","","","4,2","1.710","53,8","65,0","23,3","","9","99,9"
"22.03.2021","201.215","22.216","981","117","19.494","36.556.589","3.035.338","30.178","2.844.681","","","4,2","1.644","53,8","65,0","23,3","","9","99,9"
"21.03.2021","189.906","20.428","965","102","17.615","36.355.374","3.013.122","30.061","2.825.187","","","3,2","1.568","51,6","66,2","29,8","","9","99,9"
"20.03.2021","190.129","21.061","958","95","18.815","36.165.468","2.992.694","29.959","2.807.572","","","3,2","1.538","51,6","66,2","29,8","","9","99,9"
"19.03.2021","187.859","21.030","934","87","18.119","35.975.339","2.971.633","29.864","2.788.757","","","3,2","1.547","51,6","66,2","29,8","","9","99,9"
"18.03.2021","184.452","20.049","902","81","18.615","35.787.480","2.950.603","29.777","2.770.638","","","3,2","1.503","51,6","66,2","29,8","","9","99,9"
"17.03.2021","167.526","18.912","869","73","17.161","35.603.028","2.930.554","29.696","2.752.023","","","3,2","1.484","51,6","66,2","29,8","","9","99,9"
