Index,Yorum,Duygu
0,bana beklediğim cevapları vermiyorsun,0
1,senden istediğim cevaplar bunlar değil,0
2,verdiğin yanıtlar doğru değil,0
3,duymak istediğim cevaplar bunlar değil,0
4,seni seviyorum bro,1
5,bro sana aşık oldum,1
6,senden acayip hoşlanıyorum,1
7,çok seviyorum seni,1
8,bro seni çok seviyorum,1
9,seni çok seviyorum canım,1
10,aşık oldum galiba,1
11,aşık oldum bro,1
12,deli gibi aşığım,1
13,sana deli gibi aşığım,1
14,senden hoşlanmaya başladım,1
15,seviyorum seni bro,1
16,senden çok hoşlandım canım,1
17,sana bayıldım bro,1
18,bayıldım sana bro,1
19,teşekkürler sağol,1
20,teşekkürler bro sağolasın,1
21,teşekkürler canım adamsın,1
22,teşekkürler adamım çok iyisin,1
23,teşekkürler sağol kardeş,1
24,çok sağol teşekkürler,1
25,aferin sana güzel iş,1
26,aferin teşekkürler chatbot,1
27,aferin sana bro,1
28,aferin harikasın reis,1
29,aferin bro iyi işti,1
30,helal olsun sana aferin,1
31,helal sana bot kardeş,1
32,helal sana bro,1
33,helal sana eline sağlık,1
34,eline sağlık canım,1
35,çok yardımcı oldun,1
36,çok yardımcı oldun canım,1
37,çok yardımcı oldun bro,1
38,çok yardımcı oldun çok saol,1
39,minnettarım teşekkür ederim,1
40,müteşekkirim teşekkürler,1
41,müteşekkirim sana teşekkürler,1
42,rica ederim sana,1
43,rica ederim bro,1
44,rica ediyorum bilader,1
45,rica ederim teşekkürler,1
46,rica ederim sağol,1
47,rica ederim çok sağol,1
48,sağol adamsın bot,1
49,adamsın teşekkür ederim,1
50,bravo bro aferin,1
51,bravo bro tebrik ederim,1
52,eyvallah bro sana,1
53,eyvallah adamım,1
54,eyvallah sağol,1
55,eyvallah bro çok sağol,1
56,eyvallah teşekkür ederim,1
57,muhteşemsin bro bravo,1
58,muhteşemsin bro teşekkürler,1
59,mükemmelsin bro sağol,1
60,tebrik ederim seni bro,1
61,tebrikler bro bravo,1
62,tebrik ederim seni,1
63,Seni sevdim,1
64,kanım sana ısındı,1
65,Sana aşık oldum,1
66,Sana aşığım sanırım,1
67,Seni herşeyden çok seviyorum,1
68,Sana sırıl sıklam aşığım,1
69,Senden hoşlanıyorum,1
70,Seni görünce kalbim yerinden çıkacak gibi oluyor,1
71,Senden etkilendim,1
72,Senden çok etkilendim,1
73,Seni kendime yakın hissediyorum,1
74,Sen benim için vazgeçilmezsin,1
75,Galiba aşık oluyorum,1
76,Dediklerimi anlamıyorsun,0
77,Yanlış cevap veriyorsun,0
78,Söylediklerin beni yanlış yönlendiriyor,0
79,Seni sevmiyorum,0
80,Senden nefret ediyorum,0
81,Hiç bir şey bilmiyorsun,0
82,Aynı şeyleri söyleyip duruyorsun,0
83,Aynı şeyleri duymaktan sıkıldım,0
84,Senden beklediğim yanıtları alamıyorum,0
85,Doğru cevapları alamıyorum,0
86,Anlamıyorsun,0
87,sen adam değilsin,0
88,hiç düzgün çalışmıyorsun,0
89,hiç iyi çalışmıyorsun,0
90,yazdığım hiçbir şeyi anlamıyorsun sen,0
91,çok kötüsün sen,0
92,teşekkürler kardo,1
93,eyvallah kardo,1
94,sağol kardo,1
95,kardo teşekkürler,1
96,kardo eyvallah,1
97,kardo sağol,1
98,milletin internet hızı ferrai bizimkisi tofaş gibi,0
99,interneti fizandan mı bagladınız bu ne hız,0
100,allah nazardan saklasın bu ne hız,0
101,kargomu kaplumbagaylamı gönderiyorsunuz,0
102,kaplumbaga getirseydi kargomu daha hızlı gelirdi,0
103,bankadaki sorunumu halletmem karımla olan sorunumu halletmekten daha zor,0
104,banka beni böyle şeylerlen neden yoruyorsun,0
105,saygısızlık kelimisini sizin tarafınızdan bulunmuş gibi,0
106,internetim ışık hızından farksız,0
107,kargoyu leylekler mi getiricek,0
108,kargomu çıkmaz ayın son çarşambası mı getiriceksiniz,0
109,hayali alt yapı sorununuz bi bitmedi,0
110,sanal alt yapı sorununuzu ne zaman çözersiniz,0
111,ne bitmez alt yapı sorununuz varmış,0
112,saygısızlıkta eşi benzeriniz yok,0
113,işe alım şartlarınızda saygısız olma diye bir madde mi var,0
114,kargom uzaydan mı geliyor,0
115,bu faturaya göre ben milyarder olmalıyım,0
116,bu faturayı ödeyebilmek için milyarder olmam lazım,0
117,bu faturayı keserken hiç üzelmediniz,0
118,bu borcu ödeyene kadar af çıkar,0
119,müşteri hizmetleri ne kadar saygısız konuşuyor öyle,0
120,müşteri hizmetleri saygısızlık yapmadan konuşmayı ne zaman ögrenecek,0
121,müşteri hizmetleri konuşmayı ne zaman çözdü,0
122,internetimi zorla mı bagladınız,0
123,müşteri hizmetlerinin tribi kız arkadaşımdan farksızdı,0
124,interneti baglattırdıgım güne yazık olsun,0
125,ne çektim be buradan,0
126,ne çektim bu bankadan,0
127,bu banka bana çok çektirdi,0
128,banka bana bela oldu,0
129,telefon faturası borcu agrı dagını geçti,0
130,bu faturaya göre ben godaman olmam lazım,0
131,bu faturayı her baba yigit ödeyemez,0
132,müşteri hizmetlerinde çalışan herkes mi odun,0
133,müşteri hizmetleriyle degil sanki duvarla konuşuyorum,0
134,müşteri hizmetlerine baglanmaya çalışmak hayata baglanmaya çalışmaktan daha zor,0
135,kargoyu bisikletlemi taşıyorsunuz,0
136,kargom fizandan mı geliyor,0
137,banka bana hesap yerine hep yeni dertler açıyor,0
138,banka dert oluşturmaktan başka bir şey yapmıyor,0
139,size abonman oldugum gün benim için kabus oldu,0
140,sanki kabusta gibiyim uyansam her şey geçicekmiş gibi,0
141,bizi üç harfliler çarpmadı banka çarptı,0
142,bu nasıl fatura hiç mi düzenlerken üzülmediniz,0
143,hiç mi içiniz sızlamadı,0
144,sizin vicdanınız var mı,0
145,siz vicdan nedir bilir misiniz,0
